species,subfamily,colony.size,colony.size.sample.size,colony.size.ref,poly_id,TMP_avg,TMP_sd,TMP_med,TMP_cv,PRE_avg,PRE_sd,PRE_med,PRE_cv,DTR_avg,DTR_sd,DTR_med,DTR_cv
Cephalotes_varians,Myrmicinae,1000.00,1,"Beckers et al., 1989",1,24.64292308,2.290846154,24.96923077,0.093346154,119.4659615,90.33026923,99.52884615,0.756576923,9.711730769,0.985576923,9.626923077,0.102538462
Cerapachys_sulcinodis,Dorylinae,780.88,34,"Mizuno et al., 2022",0,22.72389744,2.908794872,23.3,0.168307692,140.5110769,104.898,119.9769231,0.782948718,9.824538462,1.951,9.594871795,0.187589744
Crematogaster_abstinens,Myrmicinae,1291.00,10,"Martins Segundo et al., 2017",0,23.99759677,1.397822581,24.13629032,0.061112903,141.4553871,96.14303226,131.116129,0.715209677,9.66,1.242241935,9.567741935,0.127145161
Crematogaster_ashmeadi,Myrmicinae,10000.00,1,"King & Porter, 2007",0,17.95217007,6.930877551,18.22040816,0.406027211,106.1528878,60.06343878,96.30612245,0.57427551,12.37184354,1.445370748,12.32704082,0.117129252
Crematogaster_biroi,Myrmicinae,148.96,25,"Peeters et al., 2013",1,21.93512,4.5094,22.754,0.2268,139.48332,116.23712,107.06,0.86356,8.50988,1.45512,8.428,0.1688
Crematogaster_lineolata,Myrmicinae,200.00,1,"King & Porter, 2007",0,14.20391574,8.300869888,14.53395291,0.707201983,73.2550285,44.08668154,64.8260223,0.674270136,13.44224659,1.652783147,13.4586741,0.124993804
Crematogaster_minutissima,Myrmicinae,191.00,3,"Heinze et al., 1999; Geraghty et al., 2007; King & Porter, 2007",0,18.18350251,6.710015075,18.43869347,0.393025126,95.58248241,58.91920101,84.40351759,0.664994975,12.94963317,1.517643216,12.91331658,0.117552764
Crematogaster_osakensis,Myrmicinae,2292.60,5,"Gotoh et al., 2017",0,13.382712,8.017824,14.0308,0.656368,127.635728,98.998176,97.908,0.798784,9.476456,1.51432,9.4712,0.157448
Cyphomyrmex_minutus,Myrmicinae,150.00,1,"King & Porter, 2007",0,23.73554194,2.214625806,23.98419355,0.098019355,133.542129,88.0358129,119.426129,0.676425806,10.11378065,1.114632258,10.02225806,0.109967742
Cyphomyrmex_rimosus,Myrmicinae,64.49,73,"King & Porter, 2007; Shik, 2008; Murakami et al., 2000; Holldobler & Wilson, 1990; Beckers et al., 1989",0,22.80173171,2.055036585,23.03821138,0.098817073,139.9935772,93.29707724,123.0936992,0.719394309,10.76167886,1.279560976,10.67479675,0.11703252
Dorymyrmex_bicolor,Dolichoderinae,10000.00,1,"Fjerdingstad & Crozier, 2006",0,17.14320386,6.530482094,17.18953168,0.437286501,41.80247107,40.7270854,27.51887052,1.033633609,15.13133333,1.934672176,15.20344353,0.128267218
Dorymyrmex_bureni,Dolichoderinae,1000.00,1,"King & Porter, 2007",0,19.07549738,6.103801047,19.31963351,0.335806283,107.4422775,63.55594241,96.17408377,0.609774869,12.40724084,1.467670157,12.37303665,0.118534031
Dorymyrmex_grandulus,Dolichoderinae,1000.00,1,"King & Porter, 2007",0,16.97487879,6.249090909,17.24090909,0.430727273,98.74139394,58.64351515,87.78939394,0.620121212,12.61451515,1.64769697,12.72727273,0.131212121
