valid_species_name,TMPavg_avg,PREavg_avg,DTRavg_avg,poly_id,colony_size
Myrmecocystus.mendax,14.85661905,40.45510714,15.74821429,1,1991
Myrmecocystus.mimicus,16.36879612,34.85406796,15.79402913,1,97
Myrmelachista.schumanni,25.18725,245.0295,11.087,1,3.00E+06
Myrmica.americana,9.293544715,73.28347967,12.2064065,0,275
Myrmica.latifrons,8.571638889,65.64512963,12.81952778,0,255
Myrmica.lobicornis,5.429589595,65.58014451,7.919872832,0,300
Myrmica.pinetorum,11.46273333,90.06091111,11.85991111,0,396
Myrmica.punctiventris,11.16626,90.97474667,11.71551333,0,13.08
Myrmica.ruginodis,7.214558974,74.45494615,7.892361538,0,665.29
Myrmica.sabuleti,8.947515625,75.78516797,8.173203125,0,3000
Myrmica.scabrinodis,7.793863517,72.12461942,8.232144357,0,514.9
Myrmica.schencki,7.280517007,63.17238095,8.43047619,0,255
Myrmica.spatulata,13.68915385,105.5916154,12.48369231,0,296
Myrmica.tahoensis,10.44828571,42.97964286,15.57778571,0,175
Myrmicaria.natalensis,19.47442857,62.66,13.408,0,19932.33
Myrmicocrypta.buenzlii,26.39633333,160.3596667,7.655333333,0,1558
Myrmicocrypta.ednaella,26.43925,165.84775,9.0375,0,86.78
Myrmoteras.barbouri,25.8105,201.064,7.736,0,9.5
Mystrium.camillae,24.40805263,214.2478947,10.47442105,1,58
Mystrium.mysticum,23.21893182,127.5709091,9.165931818,1,43
Mystrium.oberthueri,23.08075,189.2039375,8.5724375,0,33.56
Mystrium.rogeri,22.20965714,152.8624,8.8586,1,156
Neivamyrmex.carolinensis,17.35708333,111.7499167,12.74558333,1,70000
Neivamyrmex.harrisii,18.14726667,55.2062,14.24088889,1,550000
Neivamyrmex.nigrescens,16.72542222,63.18436296,14.11692593,1,83750
Neivamyrmex.opacithorax,17.16184615,67.49953846,14.47028846,1,30000
Neivamyrmex.texanus,16.40777143,54.19897143,14.75082857,1,30000
Neoponera.commutata,25.43917241,196.964931,10.10362069,0,800
Neoponera.crenata,22.99701053,181.4234,9.924842105,0,50
Neoponera.goeldii,26.07883333,193.2618889,8.8955,0,158.84
Neoponera.inversa,24.18425,207.0126071,10.03642857,0,35.62
Neoponera.marginata,23.12334286,126.7764286,11.14591429,1,1198.5
Neoponera.obscuricornis,23.80755128,195.6273462,10.1225641,0,61
